Variant,cat,t,f_mean,f_sem,f_n
allW D262V,nonexpressing,33,0.8853070175438597,0.026632776537342612,3
D262V,nonexpressing,33,0.925,0.014433756729740626,3
WT,nonexpressing,33,0.9020917678812416,0.03240770639045253,3
allW D262V,nonexpressing,34,0.8769736842105263,0.025618503275262505,3
D262V,nonexpressing,34,0.9166666666666666,0.022047927592204915,3
WT,nonexpressing,34,0.8979251012145749,0.03584228755868401,3
allW D262V,nonexpressing,35,0.8644736842105264,0.03613832816686758,3
D262V,nonexpressing,35,0.9125,0.026020824993326638,3
WT,nonexpressing,35,0.8935391363022942,0.036302752763886274,3
allW D262V,nonexpressing,36,0.8600877192982457,0.03616493372754041,3
D262V,nonexpressing,36,0.8958333333333334,0.018162078931419474,3
WT,nonexpressing,36,0.8935391363022942,0.036302752763886274,3
allW D262V,nonexpressing,37,0.8390350877192982,0.036117029607088035,3
D262V,nonexpressing,37,0.8958333333333334,0.018162078931419474,3
WT,nonexpressing,37,0.8848796671165092,0.033143740094371425,3
allW D262V,nonexpressing,38,0.8348684210526316,0.032676910363651675,3
D262V,nonexpressing,38,0.8791666666666667,0.02916666666666669,3
WT,nonexpressing,38,0.8722728295096717,0.03567379493575271,3
allW D262V,nonexpressing,39,0.8307017543859649,0.029425215995999128,3
D262V,nonexpressing,39,0.875,0.028867513459481315,3
WT,nonexpressing,39,0.8722728295096717,0.03567379493575271,3
allW D262V,nonexpressing,40,0.8221491228070176,0.025486758703109357,3
D262V,nonexpressing,40,0.8708333333333333,0.02916666666666669,3
WT,nonexpressing,40,0.8679993252361674,0.031921504610460616,3
allW D262V,nonexpressing,41,0.8138157894736843,0.0195643043242903,3
D262V,nonexpressing,41,0.8666666666666667,0.032542706982944404,3
WT,nonexpressing,41,0.8638326585695008,0.035603240810223986,3
allW D262V,nonexpressing,42,0.8052631578947368,0.015363403410646468,3
D262V,nonexpressing,42,0.8666666666666667,0.032542706982944404,3
WT,nonexpressing,42,0.8508940620782726,0.03938361654968815,3
allW D262V,nonexpressing,43,0.7969298245614035,0.017241082465790324,3
D262V,nonexpressing,43,0.8583333333333334,0.03974746672570609,3
WT,nonexpressing,43,0.8508940620782726,0.03938361654968815,3
allW D262V,nonexpressing,44,0.7881578947368421,0.01444874246493785,3
D262V,nonexpressing,44,0.85,0.040181878170803965,3
WT,nonexpressing,44,0.8466205578047683,0.035508566943162186,3
allW D262V,nonexpressing,45,0.7671052631578947,0.022135005054290443,3
D262V,nonexpressing,45,0.8458333333333333,0.037034143405481626,3
WT,nonexpressing,45,0.8380679262258209,0.03931056923129444,3
allW D262V,nonexpressing,46,0.7460526315789474,0.0301078202508674,3
D262V,nonexpressing,46,0.8416666666666667,0.03632415786283895,3
WT,nonexpressing,46,0.8380679262258209,0.03931056923129444,3
allW D262V,nonexpressing,47,0.725,0.03145764348029479,3
D262V,nonexpressing,47,0.8291666666666666,0.04103690750748376,3
WT,nonexpressing,47,0.8380679262258209,0.03931056923129444,3
allW D262V,nonexpressing,48,0.7081140350877193,0.0422119217441538,3
D262V,nonexpressing,48,0.8125,0.038188130791298666,3
WT,nonexpressing,48,0.8295152946468736,0.04320219058407983,3
allW D262V,nonexpressing,49,0.6868421052631579,0.037977872378492254,3
D262V,nonexpressing,49,0.8083333333333333,0.0356000156054897,3
WT,nonexpressing,49,0.8295152946468736,0.04320219058407983,3
allW D262V,nonexpressing,50,0.6701754385964912,0.041341645539263686,3
D262V,nonexpressing,50,0.7958333333333334,0.041666666666666664,3
WT,nonexpressing,50,0.8251293297345929,0.04411198168989238,3
allW D262V,nonexpressing,51,0.6449561403508772,0.047563458930393265,3
D262V,nonexpressing,51,0.7875,0.04389855730355309,3
WT,nonexpressing,51,0.8123031938821412,0.04406520111178771,3
allW D262V,nonexpressing,52,0.6239035087719298,0.04984731612225659,3
D262V,nonexpressing,52,0.7666666666666667,0.04639803635691683,3
WT,nonexpressing,52,0.8123031938821412,0.04406520111178771,3
allW D262V,nonexpressing,53,0.6239035087719298,0.04984731612225659,3
D262V,nonexpressing,53,0.7541666666666667,0.05220818369225695,3
WT,nonexpressing,53,0.8036437246963563,0.04119238390947976,3
allW D262V,nonexpressing,54,0.6197368421052631,0.0483869540501673,3
D262V,nonexpressing,54,0.7458333333333333,0.05464532103585002,3
WT,nonexpressing,54,0.7948717948717948,0.044871794871794865,3
allW D262V,nonexpressing,55,0.593859649122807,0.04723014254726949,3
D262V,nonexpressing,55,0.7416666666666667,0.05877806658194119,3
WT,nonexpressing,55,0.7821524966261808,0.0513453711824218,3
allW D262V,nonexpressing,56,0.5855263157894737,0.04904295279483652,3
D262V,nonexpressing,56,0.7375,0.05636562191028619,3
WT,nonexpressing,56,0.7692139001349527,0.05770355512605277,3
allW D262V,nonexpressing,57,0.5769736842105263,0.051283446847798286,3
D262V,nonexpressing,57,0.7375,0.05636562191028619,3
WT,nonexpressing,57,0.7478351327035537,0.06198714341423419,3
allW D262V,nonexpressing,58,0.5769736842105263,0.051283446847798286,3
