Day,Variant,cat,Index,t,f
20230929,WT,expressing,20230929.WT,100,0.17391304347826086
20230929,WT,expressing,20230929.WT,101,0.17391304347826086
20230929,WT,expressing,20230929.WT,102,0.17391304347826086
20230929,WT,expressing,20230929.WT,103,0.17391304347826086
20230929,WT,expressing,20230929.WT,104,0.17391304347826086
20230929,WT,expressing,20230929.WT,105,0.17391304347826086
20230929,WT,expressing,20230929.WT,106,0.17391304347826086
20230929,WT,expressing,20230929.WT,107,0.17391304347826086
20230929,WT,expressing,20230929.WT,108,0.17391304347826086
20230929,WT,expressing,20230929.WT,109,0.17391304347826086
20230929,WT,expressing,20230929.WT,110,0.17391304347826086
20230929,WT,expressing,20230929.WT,111,0.17391304347826086
20230929,WT,expressing,20230929.WT,112,0.17391304347826086
20230929,WT,expressing,20230929.WT,113,0.13043478260869568
20230929,WT,expressing,20230929.WT,114,0.13043478260869568
20230929,WT,expressing,20230929.WT,115,0.13043478260869568
20230929,WT,expressing,20230929.WT,116,0.13043478260869568
20230929,WT,expressing,20230929.WT,117,0.13043478260869568
20230929,WT,expressing,20230929.WT,118,0.13043478260869568
20230929,WT,nonexpressing,20230929.WT,0,1
20230929,WT,nonexpressing,20230929.WT,1,1
20230929,WT,nonexpressing,20230929.WT,2,1
20230929,WT,nonexpressing,20230929.WT,3,1
20230929,WT,nonexpressing,20230929.WT,4,1
20230929,WT,nonexpressing,20230929.WT,5,1
20230929,WT,nonexpressing,20230929.WT,6,1
20230929,WT,nonexpressing,20230929.WT,7,1
20230929,WT,nonexpressing,20230929.WT,8,1
20230929,WT,nonexpressing,20230929.WT,9,1
20230929,WT,nonexpressing,20230929.WT,10,1
20230929,WT,nonexpressing,20230929.WT,11,1
20230929,WT,nonexpressing,20230929.WT,12,1
20230929,WT,nonexpressing,20230929.WT,13,1
20230929,WT,nonexpressing,20230929.WT,14,1
20230929,WT,nonexpressing,20230929.WT,15,1
20230929,WT,nonexpressing,20230929.WT,16,1
20230929,WT,nonexpressing,20230929.WT,17,1
20230929,WT,nonexpressing,20230929.WT,18,1
20230929,WT,nonexpressing,20230929.WT,19,1
20230929,WT,nonexpressing,20230929.WT,20,1
20230929,WT,nonexpressing,20230929.WT,21,1
20230929,WT,nonexpressing,20230929.WT,22,1
20230929,WT,nonexpressing,20230929.WT,23,0.9871794871794872
20230929,WT,nonexpressing,20230929.WT,24,0.9871794871794872
20230929,WT,nonexpressing,20230929.WT,25,0.9871794871794872
20230929,WT,nonexpressing,20230929.WT,26,0.9871794871794872
20230929,WT,nonexpressing,20230929.WT,27,0.9871794871794872
20230929,WT,nonexpressing,20230929.WT,28,0.9871794871794872
20230929,WT,nonexpressing,20230929.WT,29,0.9871794871794872
20230929,WT,nonexpressing,20230929.WT,30,0.9871794871794872
20230929,WT,nonexpressing,20230929.WT,31,0.9615384615384616
20230929,WT,nonexpressing,20230929.WT,32,0.9615384615384616
20230929,WT,nonexpressing,20230929.WT,33,0.9615384615384616
20230929,WT,nonexpressing,20230929.WT,34,0.9615384615384616
20230929,WT,nonexpressing,20230929.WT,35,0.9615384615384616
20230929,WT,nonexpressing,20230929.WT,36,0.9615384615384616
20230929,WT,nonexpressing,20230929.WT,37,0.9487179487179487
20230929,WT,nonexpressing,20230929.WT,38,0.9358974358974359
20230929,WT,nonexpressing,20230929.WT,39,0.9358974358974359
20230929,WT,nonexpressing,20230929.WT,40,0.9230769230769231
20230929,WT,nonexpressing,20230929.WT,41,0.9230769230769231
20230929,WT,nonexpressing,20230929.WT,42,0.9230769230769231
20230929,WT,nonexpressing,20230929.WT,43,0.9230769230769231
20230929,WT,nonexpressing,20230929.WT,44,0.9102564102564102
20230929,WT,nonexpressing,20230929.WT,45,0.9102564102564102
20230929,WT,nonexpressing,20230929.WT,46,0.9102564102564102
20230929,WT,nonexpressing,20230929.WT,47,0.9102564102564102
20230929,WT,nonexpressing,20230929.WT,48,0.9102564102564102
20230929,WT,nonexpressing,20230929.WT,49,0.9102564102564102
20230929,WT,nonexpressing,20230929.WT,50,0.9102564102564102
20230929,WT,nonexpressing,20230929.WT,51,0.8974358974358975
20230929,WT,nonexpressing,20230929.WT,52,0.8974358974358975
20230929,WT,nonexpressing,20230929.WT,53,0.8846153846153846
20230929,WT,nonexpressing,20230929.WT,54,0.8846153846153846
20230929,WT,nonexpressing,20230929.WT,55,0.8846153846153846
20230929,WT,nonexpressing,20230929.WT,56,0.8846153846153846
20230929,WT,nonexpressing,20230929.WT,57,0.8717948717948718
20230929,WT,nonexpressing,20230929.WT,58,0.8717948717948718
20230929,WT,nonexpressing,20230929.WT,59,0.8461538461538461
20230929,WT,nonexpressing,20230929.WT,60,0.8461538461538461
20230929,WT,nonexpressing,20230929.WT,61,0.8333333333333334
20230929,WT,nonexpressing,20230929.WT,62,0.8333333333333334
20230929,WT,nonexpressing,20230929.WT,63,0.8205128205128205
20230929,WT,nonexpressing,20230929.WT,64,0.7948717948717949
20230929,WT,nonexpressing,20230929.WT,65,0.7948717948717949
20230929,WT,nonexpressing,20230929.WT,66,0.782051282051282
20230929,WT,nonexpressing,20230929.WT,67,0.7692307692307692
20230929,WT,nonexpressing,20230929.WT,68,0.7435897435897436
20230929,WT,nonexpressing,20230929.WT,69,0.717948717948718
20230929,WT,nonexpressing,20230929.WT,70,0.6923076923076923
20230929,WT,nonexpressing,20230929.WT,71,0.6923076923076923
20230929,WT,nonexpressing,20230929.WT,72,0.6923076923076923
20230929,WT,nonexpressing,20230929.WT,73,0.6794871794871795
20230929,WT,nonexpressing,20230929.WT,74,0.6794871794871795
20230929,WT,nonexpressing,20230929.WT,75,0.6666666666666667
20230929,WT,nonexpressing,20230929.WT,76,0.6666666666666667
20230929,WT,nonexpressing,20230929.WT,77,0.6666666666666667
20230929,WT,nonexpressing,20230929.WT,78,0.6666666666666667
20230929,WT,nonexpressing,20230929.WT,79,0.641025641025641
20230929,WT,nonexpressing,20230929.WT,80,0.6282051282051282
20230929,WT,nonexpressing,20230929.WT,81,0.6025641025641026
20230929,WT,nonexpressing,20230929.WT,82,0.6025641025641026
20230929,WT,nonexpressing,20230929.WT,83,0.5641025641025641
20230929,WT,nonexpressing,20230929.WT,84,0.5512820512820513
20230929,WT,nonexpressing,20230929.WT,85,0.5384615384615384
20230929,WT,nonexpressing,20230929.WT,86,0.5256410256410257
20230929,WT,nonexpressing,20230929.WT,87,0.5256410256410257
20230929,WT,nonexpressing,20230929.WT,88,0.5
20230929,WT,nonexpressing,20230929.WT,89,0.4871794871794872
20230929,WT,nonexpressing,20230929.WT,90,0.47435897435897434
20230929,WT,nonexpressing,20230929.WT,91,0.4358974358974359
20230929,WT,nonexpressing,20230929.WT,92,0.42307692307692313
20230929,WT,nonexpressing,20230929.WT,93,0.42307692307692313
20230929,WT,nonexpressing,20230929.WT,94,0.42307692307692313
20230929,WT,nonexpressing,20230929.WT,95,0.39743589743589747
20230929,WT,nonexpressing,20230929.WT,96,0.3717948717948718
20230929,WT,nonexpressing,20230929.WT,97,0.3589743589743589
20230929,WT,nonexpressing,20230929.WT,98,0.34615384615384615
20230929,WT,nonexpressing,20230929.WT,99,0.3205128205128205
20230929,WT,nonexpressing,20230929.WT,100,0.3076923076923077
20230929,WT,nonexpressing,20230929.WT,101,0.3076923076923077
20230929,WT,nonexpressing,20230929.WT,102,0.3076923076923077
20230929,WT,nonexpressing,20230929.WT,103,0.3076923076923077
20230929,WT,nonexpressing,20230929.WT,104,0.3076923076923077
20230929,WT,nonexpressing,20230929.WT,105,0.2948717948717948
20230929,WT,nonexpressing,20230929.WT,106,0.2948717948717948
20230929,WT,nonexpressing,20230929.WT,107,0.28205128205128205
20230929,WT,nonexpressing,20230929.WT,108,0.28205128205128205
20230929,WT,nonexpressing,20230929.WT,109,0.28205128205128205
20230929,WT,nonexpressing,20230929.WT,110,0.28205128205128205
20230929,WT,nonexpressing,20230929.WT,111,0.28205128205128205
20230929,WT,nonexpressing,20230929.WT,112,0.28205128205128205
20230929,WT,nonexpressing,20230929.WT,113,0.2564102564102564
20230929,WT,nonexpressing,20230929.WT,114,0.2435897435897436
20230929,WT,nonexpressing,20230929.WT,115,0.21794871794871795
20230929,WT,nonexpressing,20230929.WT,116,0.1923076923076923
20230929,WT,nonexpressing,20230929.WT,117,0.1923076923076923
20230929,WT,nonexpressing,20230929.WT,118,0.1923076923076923
20231004,WT,expressing,20231004.WT,0,1
20231004,WT,expressing,20231004.WT,1,1
20231004,WT,expressing,20231004.WT,2,1
20231004,WT,expressing,20231004.WT,3,1
20231004,WT,expressing,20231004.WT,4,1
20231004,WT,expressing,20231004.WT,5,1
20231004,WT,expressing,20231004.WT,6,1
20231004,WT,expressing,20231004.WT,7,1
20231004,WT,expressing,20231004.WT,8,1
20231004,WT,expressing,20231004.WT,9,1
20231004,WT,expressing,20231004.WT,10,1
20231004,WT,expressing,20231004.WT,11,0.9795918367346939
20231004,WT,expressing,20231004.WT,12,0.9795918367346939
20231004,WT,expressing,20231004.WT,13,0.9795918367346939
20231004,WT,expressing,20231004.WT,14,0.9591836734693877
20231004,WT,expressing,20231004.WT,15,0.9591836734693877
20231004,WT,expressing,20231004.WT,16,0.9591836734693877
20231004,WT,expressing,20231004.WT,17,0.9591836734693877
20231004,WT,expressing,20231004.WT,18,0.9591836734693877
20231004,WT,expressing,20231004.WT,19,0.9387755102040817
20231004,WT,expressing,20231004.WT,20,0.9387755102040817
20231004,WT,expressing,20231004.WT,21,0.9387755102040817
20231004,WT,expressing,20231004.WT,22,0.9183673469387755
20231004,WT,expressing,20231004.WT,23,0.9183673469387755
20231004,WT,expressing,20231004.WT,24,0.9183673469387755
20231004,WT,expressing,20231004.WT,25,0.9183673469387755
20231004,WT,expressing,20231004.WT,26,0.8979591836734694
20231004,WT,expressing,20231004.WT,27,0.8979591836734694
20231004,WT,expressing,20231004.WT,28,0.8979591836734694
20231004,WT,expressing,20231004.WT,29,0.8979591836734694
20231004,WT,expressing,20231004.WT,30,0.8979591836734694
20231004,WT,expressing,20231004.WT,31,0.8979591836734694
20231004,WT,expressing,20231004.WT,32,0.8775510204081632
20231004,WT,expressing,20231004.WT,33,0.8775510204081632
20231004,WT,expressing,20231004.WT,34,0.8775510204081632
20231004,WT,expressing,20231004.WT,35,0.8163265306122449
20231004,WT,expressing,20231004.WT,36,0.8163265306122449
20231004,WT,expressing,20231004.WT,37,0.8163265306122449
20231004,WT,expressing,20231004.WT,38,0.8163265306122449
20231004,WT,expressing,20231004.WT,39,0.8163265306122449
20231004,WT,expressing,20231004.WT,40,0.8163265306122449
20231004,WT,expressing,20231004.WT,41,0.8163265306122449
20231004,WT,expressing,20231004.WT,42,0.8163265306122449
20231004,WT,expressing,20231004.WT,43,0.8163265306122449
20231004,WT,expressing,20231004.WT,44,0.8163265306122449
20231004,WT,expressing,20231004.WT,45,0.8163265306122449
20231004,WT,expressing,20231004.WT,46,0.8163265306122449
20231004,WT,expressing,20231004.WT,47,0.8163265306122449
20231004,WT,expressing,20231004.WT,48,0.8163265306122449
20231004,WT,expressing,20231004.WT,49,0.8163265306122449
20231004,WT,expressing,20231004.WT,50,0.8163265306122449
20231004,WT,expressing,20231004.WT,51,0.8163265306122449
20231004,WT,expressing,20231004.WT,52,0.7959183673469388
20231004,WT,expressing,20231004.WT,53,0.7755102040816326
20231004,WT,expressing,20231004.WT,54,0.7551020408163265
20231004,WT,expressing,20231004.WT,55,0.7551020408163265
20231004,WT,expressing,20231004.WT,56,0.7551020408163265
20231004,WT,expressing,20231004.WT,57,0.7551020408163265
20231004,WT,expressing,20231004.WT,58,0.7551020408163265
20231004,WT,expressing,20231004.WT,59,0.7142857142857143
20231004,WT,expressing,20231004.WT,60,0.7142857142857143
20231004,WT,expressing,20231004.WT,61,0.6938775510204082
20231004,WT,expressing,20231004.WT,62,0.6938775510204082
20231004,WT,expressing,20231004.WT,63,0.6734693877551021
20231004,WT,expressing,20231004.WT,64,0.6734693877551021
20231004,WT,expressing,20231004.WT,65,0.6734693877551021
20231004,WT,expressing,20231004.WT,66,0.6734693877551021
20231004,WT,expressing,20231004.WT,67,0.653061224489796
20231004,WT,expressing,20231004.WT,68,0.6326530612244898
20231004,WT,expressing,20231004.WT,69,0.6326530612244898
20231004,WT,expressing,20231004.WT,70,0.6326530612244898
20231004,WT,expressing,20231004.WT,71,0.6326530612244898
20231004,WT,expressing,20231004.WT,72,0.6326530612244898
20231004,WT,expressing,20231004.WT,73,0.6326530612244898
20231004,WT,expressing,20231004.WT,74,0.6326530612244898
20231004,WT,expressing,20231004.WT,75,0.6326530612244898
20231004,WT,expressing,20231004.WT,76,0.6326530612244898
20231004,WT,expressing,20231004.WT,77,0.6326530612244898
20231004,WT,expressing,20231004.WT,78,0.5918367346938775
20231004,WT,expressing,20231004.WT,79,0.5918367346938775
20231004,WT,expressing,20231004.WT,80,0.5918367346938775
20231004,WT,expressing,20231004.WT,81,0.5714285714285714
20231004,WT,expressing,20231004.WT,82,0.5714285714285714
20231004,WT,expressing,20231004.WT,83,0.5714285714285714
20231004,WT,expressing,20231004.WT,84,0.5714285714285714
20231004,WT,expressing,20231004.WT,85,0.5714285714285714
20231004,WT,expressing,20231004.WT,86,0.5714285714285714
20231004,WT,expressing,20231004.WT,87,0.5714285714285714
20231004,WT,expressing,20231004.WT,88,0.5714285714285714
20231004,WT,expressing,20231004.WT,89,0.5306122448979591
20231004,WT,expressing,20231004.WT,90,0.5306122448979591
20231004,WT,expressing,20231004.WT,91,0.5306122448979591
20231004,WT,expressing,20231004.WT,92,0.5306122448979591
