time	200	150	100	60	50	40	25	10	5
5	86	51	51	61	47	50	51	50	49
6	82	55	51	53	50	48	50	51	44
7	79	64	52	49	51	51	50	49	51
8	82	55	49	52	50	49	50	51	45
9	78	52	46	47	44	50	44	48	47
10	94	53	51	55	53	45	50	40	49
11	85	61	49	40	46	45	44	45	47
12	92	68	53	58	49	50	42	44	44
13	86	56	46	49	48	55	51	47	46
14	100	57	47	51	49	52	55	48	54
15	108	67	53	54	48	48	45	50	49
16	112	75	52	53	46	43	45	47	48
17	125	77	53	53	44	43	56	45	43
18	124	86	58	51	49	45	47	46	45
19	137	99	60	48	46	45	51	43	52
20	153	110	63	48	50	49	44	50	49
21	194	128	58	52	47	51	51	51	47
22	213	147	57	55	52	46	51	48	51
23	245	167	65	55	49	46	54	46	52
24	281	183	62	51	48	45	46	52	47
25	300	217	66	49	51	50	48	48	50
26	354	260	69	52	49	50	45	48	52
27	390	294	76	54	54	46	45	50	47
28	410	328	82	54	54	48	46	44	50
29	495	374	98	61	55	45	49	46	44
30	549	413	95	54	51	47	51	48	47
31	636	444	99	55	59	55	44	49	45
32	698	515	110	51	49	45	46	51	50
33	725	556	121	66	56	50	49	49	44
34	778	638	126	60	53	49	44	50	46
35	877	641	148	53	48	53	54	50	46
36	921	725	148	55	50	42	49	46	46
37	1003	744	164	54	51	45	44	44	52
38	1094	808	172	62	47	48	54	50	51
39	1133	845	177	63	51	49	48	45	53
40	1207	861	203	70	54	43	47	44	52
41	1286	921	246	63	53	49	48	47	49
42	1318	962	242	68	47	51	50	44	52
43	1379	980	260	73	54	50	46	46	47
44	1434	1022	279	77	50	57	55	47	59
45	1483	1071	289	77	51	55	50	51	51
46	1534	1108	330	81	55	50	48	52	44
47	1600	1108	328	100	56	47	57	54	49
48	1594	1160	364	94	53	49	54	51	48
49	1708	1231	377	94	58	50	49	50	48
50	1718	1205	384	93	59	50	51	48	58
51	1768	1190	408	104	61	51	56	52	54
52	1783	1283	419	101	64	51	58	45	55
53	1834	1276	459	107	59	53	64	57	51
54	1854	1274	458	106	65	55	63	51	51
55	1908	1274	482	119	58	57	66	48	51
56	1963	1339	500	119	63	54	67	47	55
57	1927	1311	499	119	68	52	70	52	50
58	1973	1332	522	133	61	54	70	59	56
59	1982	1423	560	133	70	60	64	62	58
60	2029	1411	549	140	75	55	76	51	61
61	2096	1449	580	145	87	53	83	59	65
62	2083	1456	603	154	88	63	87	54	56
63	2147	1488	606	164	83	66	86	59	73
64	2199	1499	623	163	81	63	96	56	75
65	2149	1485	642	178	92	73	110	53	72
66	2201	1500	652	173	92	66	97	63	72
67	2217	1530	696	184	100	75	107	55	71
68	2183	1493	678	188	99	77	119	59	70
69	2267	1558	671	192	107	82	114	66	75
70	2287	1542	712	196	107	85	132	66	73
71	2321	1562	717	203	120	98	128	73	72
72	2313	1579	747	200	120	85	142	75	75
73	2383	1659	730	216	137	110	158	78	71
74	2342	1591	751	204	131	103	162	79	81
75	2380	1609	776	222	140	110	165	86	85
76	2410	1605	800	221	152	111	174	75	88
77	2415	1641	800	229	146	117	183	91	79
78	2386	1658	821	245	181	125	194	92	89
79	2467	1678	825	260	185	143	185	99	93
80	2464	1651	834	238	192	143	202	93	96
81	2483	1713	866	258	209	146	213	83	96
82	2522	1641	835	266	214	171	221	104	97
83	2523	1686	847	271	203	162	202	104	97
84	2542	1774	923	267	223	185	239	105	100
85	2566	1747	848	273	234	180	258	108	96
86	2508	1775	880	280	244	191	270	111	99
87	2591	1746	916	295	276	210	266	127	115
88	2645	1768	948	300	263	213	279	129	122
89	2637	1772	935	288	296	203	276	116	110
90	2678	1804	965	316	290	245	291	132	124
91	2641	1772	963	305	315	241	301	127	117
92	2675	1811	955	318	324	247	304	134	120
93	2684	1869	995	322	327	257	303	134	121
94	2665	1828	990	319	341	269	326	136	127
95	2713	1862	977	340	357	282	340	136	125
96	2768	1848	1020	334	392	301	360	146	124
97	2818	1855	1024	362	408	315	354	161	131
98	2773	1849	1037	334	446	306	377	149	128
99	2817	1909	1038	345	431	338	375	150	132
100	2761	1892	1043	371	470	355	368	175	127
101	2812	1926	1057	361	486	374	400	166	130
102	2753	1905	1136	352	511	365	384	180	132
103	2892	1900	1128	347	526	393	420	168	130
104	2851	1950	1103	415	530	391	445	212	141
105	2921	1964	1130	406	587	409	450	183	127
106	2845	1948	1143	379	594	418	452	188	139
107	2874	1993	1156	395	612	447	454	201	144
108	2936	2029	1121	410	633	474	478	206	140
109	2866	1950	1166	388	633	480	476	213	142
110	2931	2057	1178	434	675	520	515	208	145
111	2955	2078	1172	403	711	524	509	215	156
112	2968	2032	1154	422	708	528	485	220	141
113	2983	1982	1207	460	727	550	505	241	158
114	3024	2073	1239	452	736	579	523	228	149
115	2967	2043	1248	451	768	562	526	242	158
116	3017	2102	1240	454	809	575	542	257	167
117	3012	2075	1255	473	838	612	540	247	176
