time	200	150	100	60	50	40	25	10	5
5	53	50	51	50	48	48	49	45	48
6	54	55	43	53	52	50	57	50	52
7	56	54	52	45	52	50	51	51	48
8	54	49	45	45	42	44	48	47	52
9	60	58	55	51	53	44	51	50	54
10	66	62	52	47	50	51	46	47	44
11	73	64	53	52	51	51	47	55	51
12	83	72	52	56	52	51	48	50	52
13	102	84	50	48	51	48	51	45	51
14	114	105	60	55	47	47	49	47	53
15	133	111	55	52	51	51	53	47	47
16	160	137	64	57	53	54	49	55	50
17	208	168	83	65	63	51	46	55	51
18	224	190	77	60	59	54	46	53	43
19	267	222	85	64	62	55	51	45	54
20	309	250	89	65	71	64	48	60	51
21	362	292	99	76	65	64	53	54	51
22	429	336	116	87	75	64	55	47	57
23	487	396	133	93	79	74	55	54	52
24	559	423	138	93	84	75	56	55	48
25	627	497	149	101	93	77	64	61	59
26	687	553	171	101	92	88	56	61	55
27	785	604	181	109	117	89	66	62	53
28	843	702	191	113	129	92	70	60	54
29	937	745	216	133	135	105	69	67	60
30	995	801	251	138	144	108	73	68	53
31	1166	906	256	145	152	125	80	72	56
32	1261	951	297	159	166	118	76	73	53
33	1364	994	298	146	178	137	84	72	58
34	1514	1067	335	177	210	147	89	77	65
35	1557	1193	371	166	206	148	93	78	60
36	1700	1246	401	196	206	166	113	78	65
37	1823	1300	428	213	243	177	107	87	61
38	1968	1400	456	211	250	191	113	86	58
39	2010	1392	503	234	250	198	125	89	60
40	2145	1467	520	249	280	204	135	91	67
41	2287	1574	557	264	275	206	143	98	66
42	2378	1584	593	274	308	226	148	94	70
43	2455	1686	644	282	311	236	150	97	68
44	2590	1753	666	294	351	252	163	115	67
45	2629	1777	674	306	355	278	164	102	69
46	2684	1803	767	312	366	262	172	103	84
47	2785	1836	764	333	416	292	185	112	76
48	2917	1907	833	335	409	300	189	116	81
49	2994	1955	857	357	433	311	180	121	81
50	3032	2011	906	378	437	330	207	120	80
51	3120	2031	915	426	474	313	202	125	78
52	3133	2054	939	424	493	341	208	132	80
53	3254	2107	982	444	509	355	217	135	81
54	3248	2119	1006	441	544	343	221	146	81
55	3273	2152	1041	470	549	368	228	147	93
56	3315	2190	1085	490	575	404	246	143	92
57	3409	2200	1075	507	556	404	248	150	89
58	3447	2230	1148	502	579	398	266	162	95
59	3530	2287	1080	528	631	437	253	163	92
60	3514	2332	1155	560	616	433	279	155	94
61	3518	2292	1213	568	621	434	268	162	83
62	3597	2318	1235	588	657	459	272	173	95
63	3537	2330	1226	649	679	473	271	149	101
64	3519	2406	1263	651	723	480	287	185	101
65	3664	2445	1264	625	744	492	309	179	93
66	3680	2367	1316	650	724	498	325	183	97
67	3721	2456	1342	695	767	512	326	176	97
68	3702	2428	1317	750	754	515	343	178	95
69	3715	2393	1327	750	752	525	328	183	96
70	3609	2447	1371	735	799	536	333	193	103
71	3580	2435	1390	760	777	520	344	196	102
72	3748	2486	1374	789	800	525	340	183	108
73	3723	2448	1418	780	818	550	359	199	118
74	3727	2458	1432	843	826	546	361	200	107
75	3757	2495	1446	825	837	563	354	206	116
76	3766	2502	1450	810	838	575	381	204	110
77	3830	2538	1452	831	879	564	370	213	106
78	3685	2563	1481	876	868	589	379	214	108
79	3756	2505	1524	852	879	549	403	208	121
80	3766	2549	1482	900	867	594	392	217	102
81	3766	2513	1526	863	883	577	422	225	118
82	3699	2588	1511	912	897	600	418	232	121
83	3738	2566	1531	914	908	602	431	233	115
84	3821	2585	1525	936	917	575	412	227	125
85	3808	2533	1549	964	935	602	430	242	106
86	3796	2543	1510	925	905	592	440	234	109
87	3783	2597	1589	945	929	584	455	246	117
88	3760	2574	1590	958	915	594	469	238	117
89	3814	2519	1557	948	922	615	443	234	123
90	3896	2563	1586	986	951	629	462	249	129
91	3800	2573	1583	969	942	624	472	249	131
92	3885	2615	1515	968	930	611	470	245	125
93	3921	2588	1612	985	964	623	500	240	127
94	3886	2561	1593	972	948	612	490	238	130
95	3788	2543	1566	968	935	613	470	233	130
96	3932	2554	1614	973	946	592	496	257	129
97	3838	2529	1638	1009	923	619	517	267	130
98	3782	2583	1602	1012	999	650	495	265	146
99	3880	2497	1614	1030	981	637	528	278	130
100	3826	2596	1621	984	979	629	517	261	130
101	3804	2582	1633	1033	948	613	516	285	138
102	3722	2573	1612	1000	997	644	523	282	131
103	3774	2562	1615	1034	957	673	556	260	134
104	3818	2587	1662	1052	980	633	523	270	133
105	3966	2603	1656	1004	953	637	534	289	138
106	3887	2591	1658	1007	990	622	544	291	140
107	3818	2634	1666	1024	977	640	545	288	140
108	3858	2629	1641	1014	965	664	543	282	138
109	3770	2584	1592	1019	991	645	527	281	144
110	3912	2667	1664	1023	994	643	566	280	152
111	3782	2594	1648	1011	1009	655	547	272	139
112	3741	2589	1680	1038	968	634	559	273	150
113	3790	2523	1659	1040	977	653	582	287	133
114	3869	2628	1683	1079	997	651	548	299	138
115	3968	2606	1679	1063	1018	636	578	291	142
116	3811	2558	1638	1012	970	634	556	312	139
117	3829	2593	1669	1043	987	665	573	307	146
118	3885	2588	1670	1064	1009	654	569	309	145
119	3797	2555	1637	1050	984	645	576	302	144
120	3893	2580	1651	1049	990	631	562	297	144
121	3793	2630	1670	1026	984	650	574	312	146
122	3829	2599	1656	1092	1015	665	581	311	145
123	3923	2598	1615	1026	1027	653	573	315	148
124	3757	2645	1642	1073	986	654	582	302	141
125	3886	2566	1688	1051	993	639	581	297	153
126	3756	2604	1686	1078	1026	638	579	312	147
127	3759	2584	1700	1075	997	654	569	324	153
128	3804	2596	1649	1097	988	662	612	295	162
129	3796	2568	1701	1044	1031	664	592	309	139
130	3797	2617	1643	1065	1034	677	597	304	147
131	3833	2593	1694	1094	1010	636	600	307	148
132	3902	2567	1699	1093	989	675	599	302	154
133	3926	2622	1705	1085	1016	650	599	310	156
134	3994	2593	1645	1098	1009	659	602	312	147
135	4079	2570	1694	1072	1010	685	612	325	154
136	3932	2622	1664	1070	997	686	613	316	151
137	3919	2617	1678	1061	990	643	609	328	163
138	3815	2588	1666	1096	994	670	615	321	157
139	3840	2605	1688	1086	1031	678	615	315	173
140	3850	2585	1683	1046	1015	668	596	316	156
141	3959	2653	1690	1087	1038	688	620	333	152
142	3889	2606	1678	1089	1046	677	608	328	162
143	3987	2586	1669	1088	992	702	610	336	165
144	3873	2566	1708	1082	1037	678	615	306	166
145	3958	2630	1696	1124	1052	694	631	342	158
146	3919	2554	1726	1085	1052	682	619	347	162
147	3927	2556	1680	1088	1013	669	635	316	150
148	3969	2570	1686	1078	1052	652	643	319	158
149	3890	2597	1710	1105	1001	673	617	347	171
150	3821	2609	1689	1105	1025	673	611	346	163
151	3909	2668	1679	1130	1061	684	626	314	152
152	3869	2637	1683	1127	1049	692	615	346	168
153	4011	2566	1685	1087	1016	656	618	323	155
154	3946	2594	1706	1123	1032	669	614	334	164
155	3857	2616	1680	1120	1034	704	644	322	158
156	3873	2622	1662	1091	1032	667	638	335	175
157	3943	2579	1711	1098	1035	703	621	322	157
158	3925	2612	1695	1120	1044	683	622	344	154
159	3914	2624	1723	1143	1028	680	630	335	160
160	3890	2698	1692	1133	1015	700	606	341	168
161	3967	2711	1725	1135	1067	677	626	349	161
162	3825	2728	1673	1106	1007	690	639	343	168
163	3914	2646	1693	1095	1026	664	616	339	162
164	4033	2668	1706	1126	1040	689	633	327	170
165	3942	2633	1714	1102	1052	682	638	339	171
166	4039	2653	1682	1099	1057	676	601	338	164
167	3888	2690	1694	1091	1025	663	635	337	176
168	3902	2691	1703	1123	1046	696	648	340	168
169	3872	2625	1679	1099	1024	698	634	334	179
170	3856	2607	1705	1120	1050	669	665	328	162
171	3849	2636	1722	1150	1079	695	633	347	173
172	3920	2656	1742	1149	1082	712	642	353	176
173	3916	2629	1737	1137	1048	667	650	349	164
174	3970	2672	1720	1143	1043	708	660	350	179
175	4058	2642	1701	1132	1094	702	648	347	179
176	3905	2728	1719	1102	1045	689	649	330	164
177	3977	2710	1668	1144	1007	700	636	334	164
178	3905	2654	1726	1145	1060	677	660	355	170
179	3867	2673	1718	1163	1068	680	609	346	158
180	3922	2693	1727	1122	1067	673	647	355	173
181	3862	2680	1714	1143	1063	685	667	350	172
182	4002	2703	1721	1142	1060	675	664	344	168
183	3982	2640	1696	1150	1047	678	656	327	179
184	3905	2671	1738	1162	1074	717	642	347	177
185	3947	2673	1737	1114	1088	693	660	345	172
186	3938	2662	1726	1142	1064	708	631	358	176
187	3931	2705	1744	1142	1083	715	639	361	173
188	3821	2669	1706	1146	1058	687	672	373	174
189	3890	2648	1727	1107	1061	683	648	343	170
190	3971	2667	1704	1105	1071	702	625	344	180
191	3975	2671	1712	1149	1103	690	672	357	172
192	3968	2668	1669	1129	1074	714	679	347	171
193	3888	2625	1677	1127	1084	713	641	368	170
194	4069	2688	1721	1148	1101	723	673	355	182
195	4007	2667	1689	1154	1078	704	653	334	166
196	3952	2690	1707	1162	1051	682	658	354	174
197	3957	2641	1739	1196	1068	704	639	346	168
198	3942	2657	1716	1116	1042	728	653	347	158
199	3976	2674	1705	1129	1106	713	653	360	181
200	3976	2659	1706	1123	1049	711	645	363	174
201	4198	2728	1685	1131	1099	699	685	366	178
202	4024	2687	1724	1171	1062	689	669	368	181
203	4026	2640	1756	1137	1074	699	651	344	178
204	3992	2665	1716	1150	1048	687	658	354	183
205	4072	2671	1703	1165	1067	709	656	362	193
206	3965	2664	1725	1094	1056	715	660	341	174
207	3975	2685	1734	1181	1085	706	673	372	178
208	3967	2693	1744	1144	1087	698	660	350	182
209	3995	2726	1787	1175	1096	703	663	333	170
210	3827	2730	1733	1134	1069	718	651	346	174
211	3986	2661	1748	1128	1092	716	676	357	170
212	3924	2625	1686	1177	1048	709	657	341	184
213	3963	2657	1761	1135	1065	697	672	334	165
214	3936	2649	1742	1162	1054	663	653	356	174
215	3948	2675	1752	1120	1075	684	661	351	164
216	3992	2604	1702	1168	1113	691	670	353	184
217	3945	2676	1774	1143	1077	698	685	360	167
218	3873	2620	1761	1146	1109	719	652	354	176
219	4003	2684	1740	1157	1111	679	659	352	172
220	3949	2712	1762	1169	1095	708	663	362	176
221	3927	2670	1730	1151	1106	693	671	351	188
222	3927	2706	1722	1156	1086	686	665	352	178
223	3912	2656	1704	1153	1097	704	674	360	169
224	4019	2667	1701	1159	1093	713	672	355	183
225	3955	2665	1710	1170	1087	679	657	357	165
226	3915	2651	1672	1151	1051	697	653	355	172
227	4003	2662	1722	1128	1107	682	685	360	164
228	3940	2630	1735	1119	1095	706	653	344	182
229	3952	2651	1718	1168	1117	703	664	353	175
230	3927	2638	1721	1152	1110	696	653	369	177
231	4006	2666	1750	1175	1094	693	667	340	171
232	4012	2661	1729	1125	1107	709	656	349	178
233	4031	2678	1706	1156	1127	696	660	356	174
234	3998	2615	1705	1169	1097	702	660	369	185
235	4003	2700	1712	1148	1134	692	688	357	177
236	3930	2688	1698	1176	1116	694	667	358	178
237	4029	2713	1748	1156	1103	717	672	350	170
238	3998	2689	1747	1159	1119	704	672	356	168
239	3997	2692	1744	1141	1061	692	687	355	163
240	3993	2681	1746	1128	1098	706	664	365	179
241	3987	2665	1716	1157	1116	682	657	344	172
242	3995	2668	1749	1166	1123	690	682	349	169
243	3967	2654	1752	1150	1123	705	682	380	173
244	3956	2647	1729	1151	1107	711	645	377	170
245	4041	2667	1684	1139	1091	707	675	350	175
246	3961	2597	1743	1161	1128	707	639	342	164
247	3989	2723	1723	1158	1097	695	720	346	161
248	4011	2671	1734	1138	1104	694	683	348	173
249	3952	2707	1747	1173	1127	681	668	358	173
250	3984	2661	1720	1157	1114	706	689	371	181
251	4036	2696	1749	1150	1116	674	664	352	161
252	4030	2706	1734	1161	1080	693	670	362	180
253	3979	2678	1734	1151	1083	696	678	352	183
254	4012	2676	1727	1102	1119	699	676	363	172
255	3944	2671	1753	1169	1096	727	668	342	173
256	4004	2681	1774	1154	1147	725	680	353	173
257	3981	2705	1730	1207	1105	682	688	364	179
258	3972	2697	1769	1166	1106	708	645	358	172
259	4093	2705	1773	1193	1145	715	672	385	166
260	3992	2717	1758	1182	1104	709	691	371	181
261	4043	2671	1741	1153	1112	711	660	351	173
262	3914	2669	1750	1169	1074	697	662	358	171
263	3925	2684	1741	1209	1090	726	643	363	171
264	3950	2651	1732	1166	1119	699	661	365	179
265	3995	2653	1721	1170	1102	690	667	358	160
266	4100	2661	1735	1139	1109	709	675	343	178
267	3885	2617	1699	1148	1102	717	659	339	175
268	4045	2667	1720	1212	1103	684	645	359	162
269	4042	2658	1745	1185	1093	686	685	372	174
270	3983	2616	1742	1163	1118	705	696	347	183
271	4060	2684	1730	1178	1088	718	675	378	175
272	3994	2668	1708	1163	1097	725	679	338	167
273	4113	2645	1721	1159	1093	711	663	350	168
274	3969	2647	1772	1168	1110	705	653	345	171
275	4059	2711	1746	1201	1110	729	670	362	166
276	4017	2674	1715	1159	1091	721	661	371	180
277	4026	2635	1767	1191	1103	715	631	356	182
278	4001	2691	1742	1160	1101	715	660	366	172
279	3978	2663	1734	1149	1091	708	641	342	178
280	4033	2702	1732	1158	1134	739	666	346	184
281	4021	2661	1745	1157	1090	712	651	349	175
282	4019	2681	1761	1169	1101	712	644	373	152
283	3956	2711	1769	1182	1109	723	664	345	171
284	4107	2642	1708	1166	1102	693	675	371	187
285	3997	2681	1765	1192	1085	692	652	371	168
286	3929	2684	1756	1158	1072	710	659	367	186
287	4008	2672	1767	1156	1057	714	663	371	184
