time	200	160	128	102.4	81.92	65.536	52.4288	41.94304	33.554432	26.8435456	21.47483648	17.179869184
0	64	60	48	42	46	47	44	43	47	43	41	44
1	68	57	54	46	43	45	41	39	42	44	46	46
2	65	53	49	45	45	39	45	46	41	48	48	41
3	70	57	46	40	45	45	44	44	46	41	41	41
4	68	62	50	44	42	42	47	41	45	45	43	40
5	72	55	54	46	49	47	49	46	44	45	43	43
6	69	61	51	47	44	48	44	41	47	48	47	43
7	69	56	42	48	45	47	44	45	50	42	47	43
8	76	64	55	45	43	47	44	46	42	43	46	45
9	90	78	50	45	49	45	47	45	42	46	45	40
10	95	81	59	49	43	50	53	42	45	45	39	41
11	124	107	47	42	47	47	42	46	44	41	43	40
12	171	133	59	44	43	41	39	43	42	44	41	43
13	226	151	60	37	43	41	41	42	38	42	43	46
14	314	204	67	49	46	45	41	43	40	42	42	44
15	404	289	81	54	43	47	45	43	40	45	42	42
16	558	389	112	56	44	48	40	43	42	39	47	50
17	725	552	163	57	44	43	40	46	43	43	41	48
18	909	726	236	63	41	41	45	52	44	45	41	41
19	1143	977	322	83	49	49	45	39	38	49	43	41
20	1416	1297	437	83	50	45	47	54	47	47	48	39
21	1631	1622	653	103	44	50	51	61	41	51	42	45
22	2068	2074	888	139	59	52	57	57	46	52	46	48
23	2454	2574	1142	185	57	53	58	64	42	52	42	46
24	2746	3013	1526	247	70	70	56	63	41	54	44	43
25	3219	3528	1969	308	75	70	70	77	44	59	42	45
26	3636	4084	2407	406	95	85	86	81	42	69	45	42
27	4105	4540	2878	506	121	108	87	118	47	72	44	47
28	4347	4926	3204	640	160	138	99	111	45	86	44	49
29	4604	5352	3696	760	185	153	125	133	42	92	42	47
30	4978	5797	4190	917	220	192	153	161	46	96	44	44
31	5309	6195	4532	1108	293	231	183	180	44	101	38	45
32	5520	6561	4911	1252	363	274	211	190	47	103	46	41
33	5843	6684	5258	1487	479	310	250	227	57	125	47	46
34	6236	7095	5683	1720	538	384	284	265	47	148	45	51
35	6227	7197	5956	1903	667	460	331	296	53	159	48	49
36	6420	7645	6160	2122	777	574	404	346	55	182	46	51
37	6303	7436	6232	2262	920	625	470	387	62	216	52	56
38	6417	7496	6538	2491	1063	756	526	435	71	209	51	57
39	6791	7830	6577	2683	1225	829	604	494	69	250	48	48
40	6788	7859	6614	2851	1366	944	691	577	89	271	56	56
41	6708	7980	6670	2997	1584	1046	772	642	103	300	59	75
42	6882	8006	6619	3147	1724	1154	861	706	109	339	62	72
43	6896	8251	6694	3223	1856	1278	950	786	133	372	58	74
44	7197	8241	6979	3444	2055	1423	1069	855	147	428	67	92
45	7258	8292	7133	3422	2234	1567	1155	955	192	469	81	88
46	7026	8068	7053	3659	2305	1603	1289	1010	206	480	82	103
47	7305	8192	7137	3686	2440	1778	1347	1111	238	539	94	108
48	7082	8082	7104	3587	2515	1846	1388	1172	253	566	108	113
49	7180	8247	7245	3668	2582	1925	1546	1282	305	640	132	131
50	7118	8280	7038	3814	2745	2015	1588	1384	329	669	132	132
51	7274	8354	7413	3832	2836	2149	1707	1420	395	722	143	160
52	7179	8433	7305	3984	2960	2188	1826	1498	422	755	167	173
53	7062	8230	7106	3890	2911	2233	1844	1575	466	821	185	193
54	7097	8188	7065	3747	3044	2268	1876	1652	520	853	194	188
55	7021	8159	7082	3866	3094	2312	1984	1743	559	914	230	201
56	7030	8136	7185	3886	3107	2334	1949	1830	598	908	248	223
57	6947	8088	7091	3961	3055	2441	2034	1889	674	971	264	242
58	7088	8037	7274	3902	3133	2424	2140	1926	686	1035	286	248
59	7033	8201	7108	3848	3079	2527	2183	1937	760	1041	316	278
60	7063	8173	7115	4004	3263	2560	2184	2000	777	1125	329	289
61	7148	8096	7241	4044	3339	2625	2316	2087	866	1178	374	313
62	6982	8014	7074	4023	3328	2582	2234	2131	885	1168	394	303
63	7125	8132	7233	4078	3408	2692	2348	2175	945	1221	433	346
64	7036	7991	7153	3975	3391	2605	2356	2198	1001	1289	445	360
65	6957	7828	7124	4002	3398	2732	2396	2235	1055	1302	466	398
66	7113	7963	7117	4012	3403	2687	2388	2313	1069	1378	504	402
67	7001	8072	7044	4081	3385	2587	2383	2346	1095	1365	516	439
68	6987	8109	7116	3978	3413	2679	2364	2346	1181	1399	531	459
69	7099	7964	7174	4080	3419	2643	2388	2340	1215	1439	583	498
70	7151	7910	7154	4044	3471	2776	2410	2363	1233	1488	635	474
71	7300	8001	7315	4060	3560	2834	2525	2426	1315	1533	654	523
72	7088	8055	7027	3982	3436	2722	2520	2436	1317	1466	669	557
73	7005	8039	7048	4142	3559	2769	2484	2488	1346	1535	714	570
74	7123	8026	7217	4049	3472	2834	2496	2507	1406	1613	711	590
75	6945	7937	7185	4031	3509	2824	2493	2521	1429	1600	773	610
76	7025	7852	7080	4040	3519	2685	2544	2561	1473	1644	791	622
77	6979	7905	7114	4124	3512	2790	2469	2529	1481	1611	801	645
78	6901	7689	7042	4134	3557	2758	2577	2514	1486	1648	818	694
79	7015	7892	6992	4056	3556	2802	2466	2580	1547	1625	847	712
80	6913	7710	6994	4120	3593	2869	2534	2597	1525	1689	861	683
81	6948	7829	6876	3974	3553	2882	2620	2586	1582	1705	897	720
82	6891	7773	6896	4065	3558	2862	2612	2651	1593	1726	928	745
83	7036	8054	6860	4033	3589	2844	2599	2622	1622	1740	947	758
84	6961	7854	6870	4005	3572	2869	2653	2633	1598	1763	970	782
85	6998	7702	6875	3975	3598	2888	2684	2622	1673	1746	1004	837
86	6987	7698	6899	4041	3638	2815	2604	2608	1692	1803	987	821
87	6888	7893	6760	4002	3560	2837	2561	2648	1672	1767	1010	835
88	6914	7972	6975	4155	3591	2882	2668	2388	1656	1826	1054	863
89	6929	7819	6876	3938	3497	2890	2674	2359	1681	1773	1040	851
90	6982	7817	6896	4067	3563	2937	2576	2381	1681	1769	1057	890
91	6903	7794	6754	4013	3592	2893	2573	2350	1715	1779	1067	897
92	6996	7765	6961	4062	3593	2919	2742	2391	1772	1817	1063	924
93	6997	7677	6686	3931	3671	2835	2740	2340	1731	1768	1118	895
94	7134	7932	7011	4095	3682	2889	2698	2433	1766	1837	1110	961
95	6866	7436	6790	3960	3571	2896	2629	2362	1752	1824	1125	956
96	6876	7840	6905	4104	3671	2927	2642	2455	1770	1844	1145	955
97	6970	7793	6926	4094	3611	2898	2608	2451	1701	1819	1170	1008
98	7073	7830	7082	3994	3683	2927	2681	2389	1737	1836	1161	975
99	6818	7728	6779	4009	3588	2841	2553	2467	1765	1811	1141	995
100	6834	7860	6950	3989	3629	2803	2464	2455	1818	1867	1178	996
101	6982	7821	6898	4101	3664	2927	2620	2477	1797	1887	1168	1021
102	6931	7702	6828	3978	3597	2896	2515	2408	1780	1886	1207	1069
103	6785	7779	7014	4093	3619	2870	2550	2469	1797	1853	1217	1039
104	6916	7785	6944	4109	3637	2896	2622	2469	1876	1882	1250	1065
105	6709	7628	6760	4080	3574	2867	2526	2470	1812	1908	1221	1051
106	7054	7775	6965	4008	3678	2957	2670	2476	1854	1907	1271	1077
107	6677	7544	6871	4047	3646	2889	2565	2471	1800	1866	1249	1109
108	6702	7719	6785	3996	3600	2816	2582	2459	1837	1911	1272	1102
109	6876	7794	6905	4121	3658	2986	2586	2468	1787	1928	1287	1147
110	6715	7674	6696	4136	3604	2956	2522	2476	1816	1901	1285	1127
111	6960	7844	6761	4070	3611	2983	2647	2523	1816	1959	1281	1102
112	6699	7825	6608	4067	3624	2863	2533	2469	1855	1946	1278	1161
113	7001	7664	6701	4007	3617	2905	2558	2471	1797	1937	1276	1133
114	6751	7514	6797	4120	3581	2993	2575	2539	1823	1944	1313	1154
115	6657	7535	6865	4054	3642	2867	2640	2451	1865	1884	1342	1142
116	6846	7599	6736	4005	3655	2949	2583	2490	1826	1934	1297	1192
117	6835	7646	6701	3928	3604	2919	2531	2524	1854	1881	1284	1149
118	6687	7633	6721	4094	3645	2953	2592	2500	1851	1945	1315	1193
119	6778	7495	6618	4054	3678	2891	2656	2483	1874	1914	1316	1180
120	6872	7633	6746	3996	3591	2967	2615	2469	1864	1944	1302	1185
121	6762	7593	6663	4029	3583	2892	2549	2528	1888	1985	1356	1180
122	6736	7560	6790	4037	3597	2910	2555	2483	1853	1909	1336	1153
123	6695	7535	6837	4044	3688	2855	2598	2572	1864	1889	1347	1200
124	6819	7511	6759	4032	3537	2932	2593	2544	1905	1902	1324	1179
125	6722	7534	6754	4082	3617	2914	2578	2572	1916	1934	1332	1206
126	6744	7576	6608	3997	3611	2888	2632	2520	1898	1950	1329	1220
127	6700	7677	6686	4063	3646	2970	2585	2574	1849	1942	1343	1181
128	6913	7622	6764	4065	3666	2911	2544	2561	1882	1932	1359	1177
129	6783	7551	6714	4081	3648	2913	2641	2617	1910	1947	1315	1229
130	6694	7498	6687	4027	3566	2944	2636	2576	1878	1907	1334	1241
131	6618	7401	6700	4083	3580	2950	2603	2593	1825	1905	1341	1193
132	6701	7472	6720	4110	3627	2932	2588	2607	1895	1919	1361	1210
133	6584	7387	6718	4006	3649	2989	2664	2655	1888	1946	1329	1231
134	6782	7527	6814	4033	3576	2972	2583	2618	1879	1901	1382	1229
135	6671	7479	6617	4092	3603	2979	2624	2645	1908	1889	1353	1211
136	6767	7576	6691	4155	3627	2965	2576	2605	1847	1917	1388	1215
137	6652	7459	6603	4019	3641	2972	2665	2662	1917	1916	1375	1242
138	6657	7542	6561	3951	3483	3017	2636	2633	1950	1939	1355	1225
139	6856	7422	6602	3964	3590	3055	2660	2653	1925	1969	1356	1206
140	6783	7412	6604	3982	3646	3035	2616	2729	1906	1905	1336	1224
141	6706	7490	6551	4001	3553	3054	2568	2722	1979	1933	1338	1238
142	6699	7522	6778	4113	3641	3052	2706	2729	1980	1959	1415	1277
143	6704	7377	6484	3969	3544	3066	2642	2687	1989	1906	1351	1271
144	6550	7417	6498	4028	3627	3023	2586	2641	1940	1932	1367	1272
145	6537	7375	6561	4022	3587	3035	2725	2705	1954	1922	1381	1250
146	6844	7368	6487	4025	3535	3046	2656	2630	1991	1980	1365	1254
147	6868	7399	6534	3978	3627	3060	2677	2696	1989	2009	1350	1277
148	6623	7414	6563	3990	3664	3085	2613	2703	1981	1922	1392	1225
149	6614	7348	6610	4028	3551	3035	2687	2715	1974	1947	1386	1252
150	6632	7441	6389	4018	3664	3061	2714	2728	1999	1985	1341	1280
151	6569	7499	6414	4060	3656	3134	2636	2726	1966	1975	1362	1280
152	6748	7349	6475	4060	3701	3015	2667	2657	2003	1942	1387	1267
153	6618	7345	6593	4030	3589	3104	2750	2718	2024	1915	1363	1272
154	6856	7387	6461	3997	3638	3099	2684	2712	1998	1923	1420	1278
155	6970	7303	6480	3901	3666	3036	2678	2787	1951	1981	1376	1284
156	6911	7301	6559	4027	3709	3069	2758	2741	1952	1977	1385	1246
157	6826	7487	6631	4052	3817	3128	2747	2770	2012	2026	1404	1267
158	6695	7460	6569	4020	3786	3075	2670	2734	1950	1995	1375	1226
159	6836	7295	6543	4063	3636	3125	2655	2731	1988	1976	1393	1284
160	6837	7268	6436	4070	3709	3019	2614	2768	1960	1986	1372	1256
161	6966	7562	6528	4138	3803	3212	2774	2802	1994	1994	1419	1278
162	6606	7420	6485	4108	3732	3052	2676	2808	1963	1974	1405	1284
163	6662	7436	6441	4063	3711	3183	2655	2809	2056	1963	1380	1279
164	6929	7329	6438	4048	3757	3099	2668	2767	1954	1950	1403	1291
165	6786	7391	6599	4084	3734	3098	2677	2754	1973	1980	1366	1313
166	6955	7419	6476	4004	3717	3122	2720	2747	1983	2011	1432	1255
167	6876	7293	6454	4068	3667	3119	2662	2773	1995	1996	1390	1274
168	6861	7444	6556	4166	3755	3231	2756	2787	2017	1992	1374	1280
169	6702	7259	6455	4166	3681	3163	2669	2813	2015	1959	1401	1275
170	6699	7274	6391	4004	3697	3158	2703	2750	1991	1966	1417	1287
171	6674	7428	6493	4005	3739	3164	2759	2802	1992	1941	1404	1268
172	6736	7411	6526	4027	3702	3204	2762	2823	2050	2003	1423	1285
173	6779	7345	6444	3988	3698	3202	2763	2738	2003	1995	1417	1288
174	6546	7378	6424	4087	3651	3180	2782	2806	1998	1972	1406	1277
175	6638	7382	6417	4071	3743	3184	2823	2807	2058	1967	1388	1245
176	6733	7445	6493	4133	3752	3184	2735	2835	2011	1995	1397	1280
177	6617	7267	6439	4044	3759	3222	2789	2839	2003	1953	1406	1273
178	6600	7338	6540	4101	3735	3258	2769	2819	2011	1963	1409	1257
179	6507	7293	6555	4104	3764	3198	2749	2809	2016	1940	1441	1230
180	6685	7282	6614	3993	3780	3219	2805	2816	2029	2000	1393	1231
181	6725	7336	6430	4050	3684	3199	2844	2806	2057	1977	1411	1265
182	6732	7282	6321	4110	3770	3254	2807	2851	2061	1954	1401	1255
